,Feature,score,Absolute_Score
119,Feature_120,0.0650333539032837,0.0650333539032837
156,Feature_157,0.0644740891232226,0.0644740891232226
94,Feature_95,0.0559069456601134,0.0559069456601134
199,Feature_200,0.0531073335879692,0.0531073335879692
102,Feature_103,0.0507568549662884,0.0507568549662884
113,Feature_114,0.0503845701726321,0.0503845701726321
181,Feature_182,0.0474797430627794,0.0474797430627794
92,Feature_93,0.0429708960038339,0.0429708960038339
74,Feature_75,0.0409778049684807,0.0409778049684807
30,Feature_31,0.0403645726413337,0.0403645726413337
129,Feature_130,0.0395707816448047,0.0395707816448047
38,Feature_39,0.0383086822698164,0.0383086822698164
90,Feature_91,0.0379403243029463,0.0379403243029463
40,Feature_41,0.0379247959138899,0.0379247959138899
75,Feature_76,0.037244902565223,0.037244902565223
174,Feature_175,0.0368946577350707,0.0368946577350707
122,Feature_123,0.0361791408127689,0.0361791408127689
173,Feature_174,0.0360125298363912,0.0360125298363912
194,Feature_195,0.035138231995117,0.035138231995117
54,Feature_55,0.0350669267135457,0.0350669267135457
111,Feature_112,0.0347492343421267,0.0347492343421267
138,Feature_139,0.0347492155452682,0.0347492155452682
112,Feature_113,0.0344594518843272,0.0344594518843272
45,Feature_46,0.0342987270391726,0.0342987270391726
85,Feature_86,0.0338689710207053,0.0338689710207053
98,Feature_99,0.0337178844234038,0.0337178844234038
57,Feature_58,0.0325251008741529,0.0325251008741529
189,Feature_190,0.0324252573730988,0.0324252573730988
161,Feature_162,0.0323813323372754,0.0323813323372754
70,Feature_71,0.0321688001205665,0.0321688001205665
118,Feature_119,0.0321301693672287,0.0321301693672287
48,Feature_49,0.0320678098941799,0.0320678098941799
64,Feature_65,0.0318665664522933,0.0318665664522933
93,Feature_94,0.0312075116445744,0.0312075116445744
17,Feature_18,0.03112330889032,0.03112330889032
63,Feature_64,0.0298022567990204,0.0298022567990204
187,Feature_188,0.0287361571183569,0.0287361571183569
175,Feature_176,0.0287306296381659,0.0287306296381659
182,Feature_183,0.0284362173233463,0.0284362173233463
114,Feature_115,0.02839237302597,0.02839237302597
