,Feature,score,Absolute_Score
119,Feature_120,0.0688741489317231,0.0688741489317231
156,Feature_157,0.0671873726581748,0.0671873726581748
30,Feature_31,0.0585283004613158,0.0585283004613158
199,Feature_200,0.0523847422164001,0.0523847422164001
90,Feature_91,0.0494006457714239,0.0494006457714239
74,Feature_75,0.044140361064661,0.044140361064661
102,Feature_103,0.0431401789842707,0.0431401789842707
116,Feature_117,0.0425264436568748,0.0425264436568748
70,Feature_71,0.0415693636790171,0.0415693636790171
54,Feature_55,0.0409999563297751,0.0409999563297751
24,Feature_25,0.0406399386452851,0.0406399386452851
111,Feature_112,0.039753470634465,0.039753470634465
100,Feature_101,0.0393961057678416,0.0393961057678416
94,Feature_95,0.0379671535338148,0.0379671535338148
173,Feature_174,0.037887138493935,0.037887138493935
113,Feature_114,0.0377550571108567,0.0377550571108567
197,Feature_198,0.0370328967551235,0.0370328967551235
129,Feature_130,0.0360740397978803,0.0360740397978803
138,Feature_139,0.0353859247855792,0.0353859247855792
63,Feature_64,0.0334195575835236,0.0334195575835236
20,Feature_21,0.0331587618360779,0.0331587618360779
13,Feature_14,0.0328082015099336,0.0328082015099336
75,Feature_76,0.0325818711796759,0.0325818711796759
23,Feature_24,0.0321334237192908,0.0321334237192908
98,Feature_99,0.0318418495815113,0.0318418495815113
64,Feature_65,0.031360104114528,0.031360104114528
161,Feature_162,0.0311334760007065,0.0311334760007065
174,Feature_175,0.0306602084391757,0.0306602084391757
85,Feature_86,0.0300825888070373,0.0300825888070373
112,Feature_113,0.030070296931798,0.030070296931798
93,Feature_94,0.029973429695037,0.029973429695037
187,Feature_188,0.0294947475960426,0.0294947475960426
66,Feature_67,0.0289785122973026,0.0289785122973026
86,Feature_87,0.0285076190343649,0.0285076190343649
165,Feature_166,0.0280976296917181,0.0280976296917181
157,Feature_158,0.0270303978634158,0.0270303978634158
27,Feature_28,0.0268051234255551,0.0268051234255551
106,Feature_107,0.0259378933242018,0.0259378933242018
91,Feature_92,0.0256458635497414,0.0256458635497414
92,Feature_93,0.0253425094096879,0.0253425094096879
149,Feature_150,0.0252703207108434,0.0252703207108434
36,Feature_37,0.0248188598170255,0.0248188598170255
134,Feature_135,0.0245030341560438,0.0245030341560438
87,Feature_88,0.023641394453049,0.023641394453049
189,Feature_190,0.023595664939285,0.023595664939285
49,Feature_50,0.0232134896452162,0.0232134896452162
57,Feature_58,0.0231680477797219,0.0231680477797219
21,Feature_22,0.0226187460594075,0.0226187460594075
169,Feature_170,0.022118353367749,0.022118353367749
14,Feature_15,0.021951519605453,0.021951519605453
99,Feature_100,0.0217148771470089,0.0217148771470089
128,Feature_129,0.0216069588672995,0.0216069588672995
122,Feature_123,0.0204944940191451,0.0204944940191451
3,Feature_4,0.0202482470795067,0.0202482470795067
48,Feature_49,0.0202259271945055,0.0202259271945055
43,Feature_44,0.0201056638069657,0.0201056638069657
175,Feature_176,0.020086258089148,0.020086258089148
40,Feature_41,0.0198075079075,0.0198075079075
60,Feature_61,0.0195367933208716,0.0195367933208716
194,Feature_195,0.0192202022870553,0.0192202022870553
51,Feature_52,0.0191406007561567,0.0191406007561567
123,Feature_124,0.0188929946130261,0.0188929946130261
162,Feature_163,0.0188518402017542,0.0188518402017542
101,Feature_102,0.0186221546418041,0.0186221546418041
141,Feature_142,0.018353593182533,0.018353593182533
38,Feature_39,0.0181605106167146,0.0181605106167146
22,Feature_23,0.0180200935148894,0.0180200935148894
96,Feature_97,0.0177272038069641,0.0177272038069641
152,Feature_153,0.0175260182037961,0.0175260182037961
185,Feature_186,0.0174383123697588,0.0174383123697588
118,Feature_119,0.0169723793753074,0.0169723793753074
131,Feature_132,0.0168051406455986,0.0168051406455986
59,Feature_60,0.0168028375782067,0.0168028375782067
181,Feature_182,0.0163921955550808,0.0163921955550808
10,Feature_11,0.0162570328438452,0.0162570328438452
50,Feature_51,0.0160898217393315,0.0160898217393315
137,Feature_138,0.016083602201033,0.016083602201033
114,Feature_115,0.0160567547774879,0.0160567547774879
69,Feature_70,0.0160494068269814,0.0160494068269814
145,Feature_146,0.0159716542004582,0.0159716542004582
9,Feature_10,0.0157775578178249,0.0157775578178249
154,Feature_155,0.0157362227161322,0.0157362227161322
104,Feature_105,0.0154866168916741,0.0154866168916741
182,Feature_183,0.0153244905111235,0.0153244905111235
77,Feature_78,0.0151314456480856,0.0151314456480856
117,Feature_118,0.0147793283530366,0.0147793283530366
105,Feature_106,0.0147039718600486,0.0147039718600486
110,Feature_111,0.0144928491784233,0.0144928491784233
95,Feature_96,0.0141508912094646,0.0141508912094646
80,Feature_81,0.0139718026711009,0.0139718026711009
97,Feature_98,0.0138569444176269,0.0138569444176269
133,Feature_134,0.0138003087423186,0.0138003087423186
107,Feature_108,0.0136553492547249,0.0136553492547249
16,Feature_17,0.0136299105486919,0.0136299105486919
184,Feature_185,0.0134597193914893,0.0134597193914893
28,Feature_29,0.013408926185033,0.013408926185033
1,Feature_2,0.0129794724395907,0.0129794724395907
166,Feature_167,0.0127778081401076,0.0127778081401076
186,Feature_187,0.0127511364116941,0.0127511364116941
55,Feature_56,0.0126538028471277,0.0126538028471277
159,Feature_160,0.0125070291669997,0.0125070291669997
6,Feature_7,0.0123986473129808,0.0123986473129808
79,Feature_80,0.0122657733276651,0.0122657733276651
17,Feature_18,0.0122542795034211,0.0122542795034211
44,Feature_45,0.0121143101722228,0.0121143101722228
140,Feature_141,0.0120830154495262,0.0120830154495262
72,Feature_73,0.0120246256088597,0.0120246256088597
170,Feature_171,0.0118375564939868,0.0118375564939868
147,Feature_148,0.0116898116230893,0.0116898116230893
65,Feature_66,0.0116375233451633,0.0116375233451633
124,Feature_125,0.011502998879845,0.011502998879845
171,Feature_172,0.0113930953253296,0.0113930953253296
195,Feature_196,0.0110491318770444,0.0110491318770444
31,Feature_32,0.0107896070667032,0.0107896070667032
177,Feature_178,0.0105940177157858,0.0105940177157858
12,Feature_13,0.0104871680253946,0.0104871680253946
32,Feature_33,0.0103202723233618,0.0103202723233618
2,Feature_3,0.0100815712457254,0.0100815712457254
0,Feature_1,0.0100102216547479,0.0100102216547479
153,Feature_154,0.0097036129201486,0.0097036129201486
190,Feature_191,0.0095117170768456,0.0095117170768456
18,Feature_19,0.0087526417695109,0.0087526417695109
29,Feature_30,0.0087131796639541,0.0087131796639541
193,Feature_194,0.0084902575850571,0.0084902575850571
19,Feature_20,0.0084508774419321,0.0084508774419321
45,Feature_46,0.0081601534357649,0.0081601534357649
67,Feature_68,0.0081027845494967,0.0081027845494967
4,Feature_5,0.0080184936805204,0.0080184936805204
180,Feature_181,0.0078826239085897,0.0078826239085897
135,Feature_136,0.0078728685697202,0.0078728685697202
125,Feature_126,0.0077785219585626,0.0077785219585626
42,Feature_43,0.0077054150788753,0.0077054150788753
192,Feature_193,0.0074805334493281,0.0074805334493281
132,Feature_133,0.0074024045926903,0.0074024045926903
191,Feature_192,0.0073785487521038,0.0073785487521038
15,Feature_16,0.0069479567021117,0.0069479567021117
35,Feature_36,0.0062707632126788,0.0062707632126788
88,Feature_89,0.0060948892528913,0.0060948892528913
8,Feature_9,0.0060140527019458,0.0060140527019458
83,Feature_84,0.005919323248792,0.005919323248792
168,Feature_169,0.0059014710475226,0.0059014710475226
143,Feature_144,0.0058686586414332,0.0058686586414332
62,Feature_63,0.0057519641079048,0.0057519641079048
52,Feature_53,0.0057492122510666,0.0057492122510666
56,Feature_57,0.0057444534160446,0.0057444534160446
53,Feature_54,0.0057289933813474,0.0057289933813474
68,Feature_69,0.0056951662305389,0.0056951662305389
178,Feature_179,0.0056664243832976,0.0056664243832976
109,Feature_110,0.005357341183365,0.005357341183365
26,Feature_27,0.0053456010241851,0.0053456010241851
126,Feature_127,0.0053404995112035,0.0053404995112035
164,Feature_165,0.0052913844879941,0.0052913844879941
89,Feature_90,0.0052705846463506,0.0052705846463506
73,Feature_74,0.0051795846885188,0.0051795846885188
34,Feature_35,0.0051465976184886,0.0051465976184886
