,Feature,score,Absolute_Score
67,Feature_68,0.036783245067611,0.036783245067611
225,Feature_226,0.0340980481937564,0.0340980481937564
125,Feature_126,0.0276473269845369,0.0276473269845369
141,Feature_142,0.0276322842375075,0.0276322842375075
139,Feature_140,0.026449069063278,0.026449069063278
85,Feature_86,0.0241711163304817,0.0241711163304817
80,Feature_81,0.0232475840031809,0.0232475840031809
267,Feature_268,0.0204649679037908,0.0204649679037908
115,Feature_116,0.0191421406740791,0.0191421406740791
30,Feature_31,0.0189580445699127,0.0189580445699127
91,Feature_92,0.0184790092905754,0.0184790092905754
84,Feature_85,0.0184387767881429,0.0184387767881429
117,Feature_118,0.0184278062077736,0.0184278062077736
49,Feature_50,0.0182525686915381,0.0182525686915381
152,Feature_153,0.0181991887502183,0.0181991887502183
42,Feature_43,0.0161305767623675,0.0161305767623675
206,Feature_207,0.0159207446259651,0.0159207446259651
32,Feature_33,0.0155790362227092,0.0155790362227092
188,Feature_189,0.0153814290196947,0.0153814290196947
54,Feature_55,0.015244777005671,0.015244777005671
4,Feature_5,0.01511994951018,0.01511994951018
222,Feature_223,0.0150021102664439,0.0150021102664439
43,Feature_44,0.0144015001864361,0.0144015001864361
106,Feature_107,0.0142217757210274,0.0142217757210274
46,Feature_47,0.01329996255219,0.01329996255219
102,Feature_103,0.0132629189726578,0.0132629189726578
31,Feature_32,0.0128413814152964,0.0128413814152964
19,Feature_20,0.0128301183173873,0.0128301183173873
33,Feature_34,0.0125626932119342,0.0125626932119342
101,Feature_102,0.0124647742373449,0.0124647742373449
167,Feature_168,0.0122639183396481,0.0122639183396481
137,Feature_138,0.0122545930192232,0.0122545930192232
208,Feature_209,0.0122234631427631,0.0122234631427631
40,Feature_41,0.0117821990862433,0.0117821990862433
145,Feature_146,0.0117757014733678,0.0117757014733678
221,Feature_222,0.0116985792615754,0.0116985792615754
240,Feature_241,0.0116196442135765,0.0116196442135765
77,Feature_78,0.0115542199991167,0.0115542199991167
279,Feature_280,0.0113847021738549,0.0113847021738549
1,Feature_2,0.0113560337224062,0.0113560337224062
61,Feature_62,0.0112997312425578,0.0112997312425578
249,Feature_250,0.0111871526313356,0.0111871526313356
295,Feature_296,0.0110961996915876,0.0110961996915876
99,Feature_100,0.0110385723303174,0.0110385723303174
298,Feature_299,0.0108117835087109,0.0108117835087109
224,Feature_225,0.0106520622922986,0.0106520622922986
79,Feature_80,0.0106169730172962,0.0106169730172962
71,Feature_72,0.0105168321589347,0.0105168321589347
97,Feature_98,0.0104314412480478,0.0104314412480478
251,Feature_252,0.0104002011157766,0.0104002011157766
165,Feature_166,0.0103629561867975,0.0103629561867975
194,Feature_195,0.0103273165261998,0.0103273165261998
220,Feature_221,0.0100596985091015,0.0100596985091015
257,Feature_258,0.009955272202543,0.009955272202543
8,Feature_9,0.0098439439026344,0.0098439439026344
296,Feature_297,0.0097577151557968,0.0097577151557968
189,Feature_190,0.0097492619006397,0.0097492619006397
255,Feature_256,0.009484646893124,0.009484646893124
289,Feature_290,0.009431761830004,0.009431761830004
226,Feature_227,0.0092154919794935,0.0092154919794935
76,Feature_77,0.0091456818008749,0.0091456818008749
241,Feature_242,0.0091241528175219,0.0091241528175219
103,Feature_104,0.009083215968404,0.009083215968404
107,Feature_108,0.0089871346430658,0.0089871346430658
282,Feature_283,0.0089802727744336,0.0089802727744336
252,Feature_253,0.0089601347789126,0.0089601347789126
58,Feature_59,0.0089441856900769,0.0089441856900769
181,Feature_182,0.008926131778708,0.008926131778708
191,Feature_192,0.0088200617871566,0.0088200617871566
245,Feature_246,0.0087321383133712,0.0087321383133712
35,Feature_36,0.0087271406132702,0.0087271406132702
192,Feature_193,0.0086679687037144,0.0086679687037144
122,Feature_123,0.008559581349025,0.008559581349025
87,Feature_88,0.0085507501951227,0.0085507501951227
146,Feature_147,0.008377307504076,0.008377307504076
22,Feature_23,0.0083631125282028,0.0083631125282028
81,Feature_82,0.0082801323892102,0.0082801323892102
62,Feature_63,0.0082768809427264,0.0082768809427264
292,Feature_293,0.0082364872803023,0.0082364872803023
176,Feature_177,0.0080468398118746,0.0080468398118746
232,Feature_233,0.0079462115034153,0.0079462115034153
29,Feature_30,0.0078711028878248,0.0078711028878248
172,Feature_173,0.0078200102814604,0.0078200102814604
