,Feature,score,Absolute_Score
225,Feature_226,0.0371179678754257,0.0371179678754257
141,Feature_142,0.0321995777839063,0.0321995777839063
67,Feature_68,0.0308426771969843,0.0308426771969843
139,Feature_140,0.0297156316548549,0.0297156316548549
125,Feature_126,0.0245756230206004,0.0245756230206004
30,Feature_31,0.0221459804202054,0.0221459804202054
80,Feature_81,0.020391340746527,0.020391340746527
85,Feature_86,0.01908575799938,0.01908575799938
152,Feature_153,0.0179438773496133,0.0179438773496133
79,Feature_80,0.0177141529293093,0.0177141529293093
117,Feature_118,0.0173837111933077,0.0173837111933077
282,Feature_283,0.0168082979837628,0.0168082979837628
49,Feature_50,0.0167155380539856,0.0167155380539856
101,Feature_102,0.0165742157669985,0.0165742157669985
62,Feature_63,0.016413972192859,0.016413972192859
42,Feature_43,0.016413295560588,0.016413295560588
91,Feature_92,0.0163612537847817,0.0163612537847817
295,Feature_296,0.0152953353519392,0.0152953353519392
249,Feature_250,0.0151537164528813,0.0151537164528813
4,Feature_5,0.0150636626550514,0.0150636626550514
188,Feature_189,0.0148887705466352,0.0148887705466352
206,Feature_207,0.0148685818009086,0.0148685818009086
5,Feature_6,0.0148558601131192,0.0148558601131192
53,Feature_54,0.0147632510497423,0.0147632510497423
115,Feature_116,0.0146587478235277,0.0146587478235277
208,Feature_209,0.0145884350059157,0.0145884350059157
84,Feature_85,0.0141811078964226,0.0141811078964226
46,Feature_47,0.0139713416928252,0.0139713416928252
89,Feature_90,0.0139643536058684,0.0139643536058684
157,Feature_158,0.0133045434350914,0.0133045434350914
106,Feature_107,0.0130688270637678,0.0130688270637678
54,Feature_55,0.0129505809489319,0.0129505809489319
224,Feature_225,0.0128815657503812,0.0128815657503812
240,Feature_241,0.0128118675650883,0.0128118675650883
8,Feature_9,0.0127059853729964,0.0127059853729964
137,Feature_138,0.0126679322110282,0.0126679322110282
267,Feature_268,0.0125529273112666,0.0125529273112666
32,Feature_33,0.0123038111641471,0.0123038111641471
87,Feature_88,0.0119584906531643,0.0119584906531643
192,Feature_193,0.0119483424293103,0.0119483424293103
298,Feature_299,0.0118794916266883,0.0118794916266883
97,Feature_98,0.0114611647868752,0.0114611647868752
204,Feature_205,0.0114385147748884,0.0114385147748884
58,Feature_59,0.011333067068252,0.011333067068252
29,Feature_30,0.0112093805424162,0.0112093805424162
232,Feature_233,0.011045471864353,0.011045471864353
205,Feature_206,0.0109189191232654,0.0109189191232654
292,Feature_293,0.0107021643553445,0.0107021643553445
19,Feature_20,0.0105723437768712,0.0105723437768712
222,Feature_223,0.0103500833300432,0.0103500833300432
99,Feature_100,0.0103376920918936,0.0103376920918936
181,Feature_182,0.0101820392280148,0.0101820392280148
289,Feature_290,0.01004177245038,0.01004177245038
132,Feature_133,0.009975108864025,0.009975108864025
257,Feature_258,0.0099439780661001,0.0099439780661001
134,Feature_135,0.0097209176242559,0.0097209176242559
76,Feature_77,0.0094753435654775,0.0094753435654775
86,Feature_87,0.0092178831434382,0.0092178831434382
103,Feature_104,0.0091335023716597,0.0091335023716597
145,Feature_146,0.0090095794693726,0.0090095794693726
150,Feature_151,0.0089649009927979,0.0089649009927979
1,Feature_2,0.0089620666851435,0.0089620666851435
176,Feature_177,0.0089242140771101,0.0089242140771101
279,Feature_280,0.0087666460170535,0.0087666460170535
9,Feature_10,0.0087647840691151,0.0087647840691151
167,Feature_168,0.008753431140031,0.008753431140031
274,Feature_275,0.0087313182949593,0.0087313182949593
71,Feature_72,0.008714019557434,0.008714019557434
66,Feature_67,0.0087098766852301,0.0087098766852301
31,Feature_32,0.0086883902234741,0.0086883902234741
146,Feature_147,0.0085619072031112,0.0085619072031112
159,Feature_160,0.0085219755666565,0.0085219755666565
194,Feature_195,0.0083534495943755,0.0083534495943755
297,Feature_298,0.008345169488104,0.008345169488104
241,Feature_242,0.0082831025883618,0.0082831025883618
133,Feature_134,0.0081610047647598,0.0081610047647598
229,Feature_230,0.0081038655254567,0.0081038655254567
50,Feature_51,0.0080398592351754,0.0080398592351754
276,Feature_277,0.0079312259194686,0.0079312259194686
3,Feature_4,0.0079054279555994,0.0079054279555994
82,Feature_83,0.007780529434871,0.007780529434871
296,Feature_297,0.0077662172695706,0.0077662172695706
105,Feature_106,0.0077536633312021,0.0077536633312021
165,Feature_166,0.007752621633931,0.007752621633931
102,Feature_103,0.0077191607816074,0.0077191607816074
149,Feature_150,0.0076954214350007,0.0076954214350007
288,Feature_289,0.0076542107818967,0.0076542107818967
221,Feature_222,0.0075705413212088,0.0075705413212088
271,Feature_272,0.0075617419313835,0.0075617419313835
195,Feature_196,0.0075462458258731,0.0075462458258731
281,Feature_282,0.0075330797823311,0.0075330797823311
124,Feature_125,0.0074235369520208,0.0074235369520208
34,Feature_35,0.0074209352768133,0.0074209352768133
43,Feature_44,0.0073452866449926,0.0073452866449926
189,Feature_190,0.0073172615233087,0.0073172615233087
64,Feature_65,0.0071940637451651,0.0071940637451651
207,Feature_208,0.0071059505745363,0.0071059505745363
45,Feature_46,0.0070884426919401,0.0070884426919401
7,Feature_8,0.0070460089161801,0.0070460089161801
129,Feature_130,0.0070015598250232,0.0070015598250232
247,Feature_248,0.0069867539823176,0.0069867539823176
215,Feature_216,0.0068679986183498,0.0068679986183498
261,Feature_262,0.0068605256667322,0.0068605256667322
28,Feature_29,0.0068417498349673,0.0068417498349673
77,Feature_78,0.0068381481258649,0.0068381481258649
81,Feature_82,0.0068357520060872,0.0068357520060872
255,Feature_256,0.0067945241309305,0.0067945241309305
264,Feature_265,0.0067583061883274,0.0067583061883274
27,Feature_28,0.0067544451595448,0.0067544451595448
33,Feature_34,0.0067293373151245,0.0067293373151245
