,Feature,score,Absolute_Score
67,Feature_68,0.0317046936901932,0.0317046936901932
225,Feature_226,0.0261454354001213,0.0261454354001213
139,Feature_140,0.0240183140609298,0.0240183140609298
91,Feature_92,0.0190563715403068,0.0190563715403068
206,Feature_207,0.0188136106884808,0.0188136106884808
141,Feature_142,0.0182717840096943,0.0182717840096943
137,Feature_138,0.0182105224600894,0.0182105224600894
49,Feature_50,0.0179273605570741,0.0179273605570741
125,Feature_126,0.0171320653033556,0.0171320653033556
152,Feature_153,0.0165882223583672,0.0165882223583672
79,Feature_80,0.0157186407799963,0.0157186407799963
30,Feature_31,0.015682251353583,0.015682251353583
80,Feature_81,0.0146171671810027,0.0146171671810027
208,Feature_209,0.0142604386920643,0.0142604386920643
4,Feature_5,0.01419423083915,0.01419423083915
222,Feature_223,0.0139933316775051,0.0139933316775051
32,Feature_33,0.0136233450438845,0.0136233450438845
188,Feature_189,0.0135891995528774,0.0135891995528774
66,Feature_67,0.0133562124375747,0.0133562124375747
87,Feature_88,0.0131796601843879,0.0131796601843879
106,Feature_107,0.0130857853034278,0.0130857853034278
85,Feature_86,0.0128073894906721,0.0128073894906721
267,Feature_268,0.0127650383920797,0.0127650383920797
84,Feature_85,0.0121898037438313,0.0121898037438313
82,Feature_83,0.0121070387778741,0.0121070387778741
42,Feature_43,0.012072975420819,0.012072975420819
167,Feature_168,0.0120724199548421,0.0120724199548421
43,Feature_44,0.011821928082262,0.011821928082262
99,Feature_100,0.0112289991998929,0.0112289991998929
31,Feature_32,0.0110772002498764,0.0110772002498764
149,Feature_150,0.0109723748315738,0.0109723748315738
296,Feature_297,0.0107430739852267,0.0107430739852267
29,Feature_30,0.010671258897747,0.010671258897747
221,Feature_222,0.0105730075722701,0.0105730075722701
117,Feature_118,0.0104928170526518,0.0104928170526518
101,Feature_102,0.0103734123638439,0.0103734123638439
176,Feature_177,0.0102561279896975,0.0102561279896975
9,Feature_10,0.0100928936278475,0.0100928936278475
271,Feature_272,0.0100517405916089,0.0100517405916089
145,Feature_146,0.0099676920928161,0.0099676920928161
115,Feature_116,0.0097540235674377,0.0097540235674377
282,Feature_283,0.0095893068422687,0.0095893068422687
195,Feature_196,0.0095160589661123,0.0095160589661123
103,Feature_104,0.0094957361060259,0.0094957361060259
273,Feature_274,0.0093729789529788,0.0093729789529788
289,Feature_290,0.009176236931947,0.009176236931947
19,Feature_20,0.0091492281473608,0.0091492281473608
