,Feature,score,Absolute_Score
67,Feature_68,0.0274763473361795,0.0274763473361795
139,Feature_140,0.0274636185698281,0.0274636185698281
225,Feature_226,0.0260589136382784,0.0260589136382784
125,Feature_126,0.0224175289501484,0.0224175289501484
206,Feature_207,0.0218545764284644,0.0218545764284644
91,Feature_92,0.0194877337104211,0.0194877337104211
137,Feature_138,0.0186287297004426,0.0186287297004426
85,Feature_86,0.0171918333229538,0.0171918333229538
141,Feature_142,0.0171147385033603,0.0171147385033603
87,Feature_88,0.0163963331882359,0.0163963331882359
152,Feature_153,0.0163538037274199,0.0163538037274199
4,Feature_5,0.0159512295187924,0.0159512295187924
84,Feature_85,0.0149402679317278,0.0149402679317278
296,Feature_297,0.0147953065564209,0.0147953065564209
117,Feature_118,0.0147121828496608,0.0147121828496608
204,Feature_205,0.0145164822830197,0.0145164822830197
208,Feature_209,0.0139751451084399,0.0139751451084399
33,Feature_34,0.0138035997904598,0.0138035997904598
106,Feature_107,0.0135116920928324,0.0135116920928324
195,Feature_196,0.0128645669379108,0.0128645669379108
149,Feature_150,0.0128236383714138,0.0128236383714138
282,Feature_283,0.0123827914758821,0.0123827914758821
8,Feature_9,0.0122212108011724,0.0122212108011724
267,Feature_268,0.0122159899244958,0.0122159899244958
46,Feature_47,0.0119529005939975,0.0119529005939975
66,Feature_67,0.0116086858260112,0.0116086858260112
32,Feature_33,0.0114990475295723,0.0114990475295723
82,Feature_83,0.010964697566749,0.010964697566749
53,Feature_54,0.0108050482207552,0.0108050482207552
240,Feature_241,0.0106990534331154,0.0106990534331154
188,Feature_189,0.010663542268739,0.010663542268739
79,Feature_80,0.01058257114234,0.01058257114234
80,Feature_81,0.0102384773557564,0.0102384773557564
35,Feature_36,0.0101751014326957,0.0101751014326957
42,Feature_43,0.0101690823710455,0.0101690823710455
145,Feature_146,0.0101043235461731,0.0101043235461731
176,Feature_177,0.0100099216027416,0.0100099216027416
222,Feature_223,0.0099494096005171,0.0099494096005171
49,Feature_50,0.0099368191564532,0.0099368191564532
101,Feature_102,0.0098649249806663,0.0098649249806663
30,Feature_31,0.0098529034982632,0.0098529034982632
298,Feature_299,0.0096246844614208,0.0096246844614208
115,Feature_116,0.009277329784225,0.009277329784225
271,Feature_272,0.0092567894097388,0.0092567894097388
289,Feature_290,0.0092475199663222,0.0092475199663222
103,Feature_104,0.0091714991399782,0.0091714991399782
40,Feature_41,0.0091240580828907,0.0091240580828907
273,Feature_274,0.0090849373849438,0.0090849373849438
71,Feature_72,0.0088709115384778,0.0088709115384778
56,Feature_57,0.0087954271099807,0.0087954271099807
291,Feature_292,0.0087750384792078,0.0087750384792078
215,Feature_216,0.0087156226539634,0.0087156226539634
167,Feature_168,0.0086903804400558,0.0086903804400558
99,Feature_100,0.0085993779465263,0.0085993779465263
54,Feature_55,0.0085843948350941,0.0085843948350941
28,Feature_29,0.0085217789848034,0.0085217789848034
231,Feature_232,0.0084289329453841,0.0084289329453841
58,Feature_59,0.00839063372408,0.00839063372408
29,Feature_30,0.0083248510750926,0.0083248510750926
159,Feature_160,0.0081379991396612,0.0081379991396612
111,Feature_112,0.0081161537300109,0.0081161537300109
221,Feature_222,0.0080150436879832,0.0080150436879832
114,Feature_115,0.0080091814022338,0.0080091814022338
19,Feature_20,0.0079058679353599,0.0079058679353599
112,Feature_113,0.0078682107074225,0.0078682107074225
74,Feature_75,0.0076270055753824,0.0076270055753824
86,Feature_87,0.007625145763892,0.007625145763892
288,Feature_289,0.0076001790188195,0.0076001790188195
1,Feature_2,0.0075695785065021,0.0075695785065021
155,Feature_156,0.0075585748301759,0.0075585748301759
157,Feature_158,0.0075525337275187,0.0075525337275187
14,Feature_15,0.0075396785851008,0.0075396785851008
65,Feature_66,0.0075233466170438,0.0075233466170438
292,Feature_293,0.0073490263959791,0.0073490263959791
9,Feature_10,0.0072598577568441,0.0072598577568441
297,Feature_298,0.0071654212068299,0.0071654212068299
45,Feature_46,0.0069192459932134,0.0069192459932134
31,Feature_32,0.0067833530128357,0.0067833530128357
129,Feature_130,0.0067412965006262,0.0067412965006262
242,Feature_243,0.0067177558723662,0.0067177558723662
127,Feature_128,0.006614533629687,0.006614533629687
34,Feature_35,0.0065051124056913,0.0065051124056913
48,Feature_49,0.0064354475128868,0.0064354475128868
122,Feature_123,0.0060624700826688,0.0060624700826688
3,Feature_4,0.006027087634029,0.006027087634029
232,Feature_233,0.0059557718262218,0.0059557718262218
274,Feature_275,0.0058741146818175,0.0058741146818175
