,Feature,score,Absolute_Score
225,Feature_226,0.0387932676865666,0.0387932676865666
67,Feature_68,0.0311234676020018,0.0311234676020018
141,Feature_142,0.0307852764571469,0.0307852764571469
125,Feature_126,0.0298197259363365,0.0298197259363365
85,Feature_86,0.026355313878546,0.026355313878546
139,Feature_140,0.0237059965208921,0.0237059965208921
152,Feature_153,0.0227119753177053,0.0227119753177053
208,Feature_209,0.0211233092787747,0.0211233092787747
32,Feature_33,0.0210958484593909,0.0210958484593909
33,Feature_34,0.020891809053808,0.020891809053808
8,Feature_9,0.0203974894659503,0.0203974894659503
106,Feature_107,0.0201951906887689,0.0201951906887689
4,Feature_5,0.0198046680000203,0.0198046680000203
30,Feature_31,0.0192372085026906,0.0192372085026906
267,Feature_268,0.0188474072041583,0.0188474072041583
80,Feature_81,0.0185328436812902,0.0185328436812902
101,Feature_102,0.0176521091355988,0.0176521091355988
79,Feature_80,0.0171875630747833,0.0171875630747833
87,Feature_88,0.0164503051758093,0.0164503051758093
91,Feature_92,0.0164460615014799,0.0164460615014799
298,Feature_299,0.0160466603121488,0.0160466603121488
49,Feature_50,0.0159954361716229,0.0159954361716229
42,Feature_43,0.0157587556487323,0.0157587556487323
40,Feature_41,0.015548655163814,0.015548655163814
271,Feature_272,0.0153962065771553,0.0153962065771553
84,Feature_85,0.0150029611509952,0.0150029611509952
66,Feature_67,0.0149901272698832,0.0149901272698832
5,Feature_6,0.0149796259765681,0.0149796259765681
117,Feature_118,0.0149739808862187,0.0149739808862187
137,Feature_138,0.0149738943398318,0.0149738943398318
115,Feature_116,0.0148618586346413,0.0148618586346413
194,Feature_195,0.014838931187269,0.014838931187269
53,Feature_54,0.0143201849157965,0.0143201849157965
288,Feature_289,0.0141287192989463,0.0141287192989463
99,Feature_100,0.0139384097580483,0.0139384097580483
124,Feature_125,0.012946187074168,0.012946187074168
204,Feature_205,0.0126065941194667,0.0126065941194667
62,Feature_63,0.0125410965149402,0.0125410965149402
188,Feature_189,0.0125208939742164,0.0125208939742164
240,Feature_241,0.012492442375998,0.012492442375998
296,Feature_297,0.0122952432175506,0.0122952432175506
43,Feature_44,0.012084274479762,0.012084274479762
