,Feature,score,Absolute_Score
67,Feature_68,0.0320239447909172,0.0320239447909172
139,Feature_140,0.027930918829572,0.027930918829572
225,Feature_226,0.0266951884015172,0.0266951884015172
141,Feature_142,0.0197484919604431,0.0197484919604431
206,Feature_207,0.0182080520887405,0.0182080520887405
125,Feature_126,0.017865779722164,0.017865779722164
106,Feature_107,0.0178435469456804,0.0178435469456804
137,Feature_138,0.0177755903732675,0.0177755903732675
152,Feature_153,0.0159243175823915,0.0159243175823915
91,Feature_92,0.0151045939183222,0.0151045939183222
267,Feature_268,0.0150674160086577,0.0150674160086577
87,Feature_88,0.0150596752881037,0.0150596752881037
85,Feature_86,0.0150019180287951,0.0150019180287951
4,Feature_5,0.0149779112386122,0.0149779112386122
188,Feature_189,0.0137049930669103,0.0137049930669103
204,Feature_205,0.013283871732724,0.013283871732724
117,Feature_118,0.0126514759781432,0.0126514759781432
208,Feature_209,0.0123840072585489,0.0123840072585489
282,Feature_283,0.0123606293083005,0.0123606293083005
32,Feature_33,0.0120201236446455,0.0120201236446455
46,Feature_47,0.0120116126557197,0.0120116126557197
296,Feature_297,0.0119266713830271,0.0119266713830271
30,Feature_31,0.0117666929256968,0.0117666929256968
101,Feature_102,0.0116554331804714,0.0116554331804714
222,Feature_223,0.011644570606278,0.011644570606278
84,Feature_85,0.0114301625464633,0.0114301625464633
9,Feature_10,0.0112560126512258,0.0112560126512258
82,Feature_83,0.0112528781909207,0.0112528781909207
66,Feature_67,0.0110337105767464,0.0110337105767464
42,Feature_43,0.0109052318291608,0.0109052318291608
40,Feature_41,0.0107490272552042,0.0107490272552042
35,Feature_36,0.0101275820710155,0.0101275820710155
231,Feature_232,0.0099576712370041,0.0099576712370041
195,Feature_196,0.0098796204161909,0.0098796204161909
99,Feature_100,0.0094535683396524,0.0094535683396524
49,Feature_50,0.0093903484434007,0.0093903484434007
167,Feature_168,0.0093501775201112,0.0093501775201112
289,Feature_290,0.0091296089081356,0.0091296089081356
114,Feature_115,0.0088504910416407,0.0088504910416407
79,Feature_80,0.0087697441450106,0.0087697441450106
29,Feature_30,0.0085212052264169,0.0085212052264169
71,Feature_72,0.0083519997355342,0.0083519997355342
115,Feature_116,0.0082529116044022,0.0082529116044022
240,Feature_241,0.0081634335640832,0.0081634335640832
221,Feature_222,0.0081455603379041,0.0081455603379041
3,Feature_4,0.0081055254211799,0.0081055254211799
80,Feature_81,0.0080778659243519,0.0080778659243519
112,Feature_113,0.007962869710799,0.007962869710799
133,Feature_134,0.0077245906468549,0.0077245906468549
103,Feature_104,0.0076745589645297,0.0076745589645297
31,Feature_32,0.0075624907861907,0.0075624907861907
53,Feature_54,0.0075424540710314,0.0075424540710314
33,Feature_34,0.0075327758256319,0.0075327758256319
122,Feature_123,0.007433405205477,0.007433405205477
22,Feature_23,0.0073782508917304,0.0073782508917304
199,Feature_200,0.0072706140547145,0.0072706140547145
62,Feature_63,0.0072080211698355,0.0072080211698355
28,Feature_29,0.0071712766970306,0.0071712766970306
149,Feature_150,0.007127484452598,0.007127484452598
159,Feature_160,0.0071245334519939,0.0071245334519939
111,Feature_112,0.0070870867500157,0.0070870867500157
51,Feature_52,0.0070573523897004,0.0070573523897004
176,Feature_177,0.0068565613719496,0.0068565613719496
8,Feature_9,0.0065510099705391,0.0065510099705391
86,Feature_87,0.0063955290626633,0.0063955290626633
271,Feature_272,0.0063475012187438,0.0063475012187438
147,Feature_148,0.0062306864357394,0.0062306864357394
192,Feature_193,0.0062269588215375,0.0062269588215375
249,Feature_250,0.0061879016111485,0.0061879016111485
124,Feature_125,0.0061299349662928,0.0061299349662928
105,Feature_106,0.0060648973528326,0.0060648973528326
132,Feature_133,0.0058431531302712,0.0058431531302712
50,Feature_51,0.0058216631672588,0.0058216631672588
220,Feature_221,0.0058062429823131,0.0058062429823131
43,Feature_44,0.0057938743793817,0.0057938743793817
257,Feature_258,0.0056671309486912,0.0056671309486912
78,Feature_79,0.0056177270861276,0.0056177270861276
121,Feature_122,0.0055961175458838,0.0055961175458838
172,Feature_173,0.0055828639502828,0.0055828639502828
150,Feature_151,0.0055792651008871,0.0055792651008871
54,Feature_55,0.0055466394322146,0.0055466394322146
129,Feature_130,0.0055411231618288,0.0055411231618288
70,Feature_71,0.0055073697592191,0.0055073697592191
241,Feature_242,0.0054346002675901,0.0054346002675901
107,Feature_108,0.0053980775157473,0.0053980775157473
74,Feature_75,0.0053730950544873,0.0053730950544873
1,Feature_2,0.005329311001223,0.005329311001223
89,Feature_90,0.0052709838668574,0.0052709838668574
297,Feature_298,0.0052600566623613,0.0052600566623613
163,Feature_164,0.0051962931487916,0.0051962931487916
68,Feature_69,0.005150773384931,0.005150773384931
97,Feature_98,0.0051438413165,0.0051438413165
200,Feature_201,0.005126886111773,0.005126886111773
259,Feature_260,0.0049624983512052,0.0049624983512052
191,Feature_192,0.0048922255680407,0.0048922255680407
65,Feature_66,0.0048863533010981,0.0048863533010981
37,Feature_38,0.0047903527205815,0.0047903527205815
274,Feature_275,0.0046905739158716,0.0046905739158716
292,Feature_293,0.004677240439325,0.004677240439325
161,Feature_162,0.0046639690113794,0.0046639690113794
224,Feature_225,0.0046539923373146,0.0046539923373146
245,Feature_246,0.0046016532196495,0.0046016532196495
155,Feature_156,0.0045314210476704,0.0045314210476704
194,Feature_195,0.0045163340623547,0.0045163340623547
232,Feature_233,0.0045087975674013,0.0045087975674013
298,Feature_299,0.0045053702947844,0.0045053702947844
142,Feature_143,0.0044246474337412,0.0044246474337412
75,Feature_76,0.0044115569905581,0.0044115569905581
14,Feature_15,0.0043999978709538,0.0043999978709538
56,Feature_57,0.0043939498865431,0.0043939498865431
102,Feature_103,0.0043144634936865,0.0043144634936865
248,Feature_249,0.0043060662076578,0.0043060662076578
36,Feature_37,0.0042948257228066,0.0042948257228066
215,Feature_216,0.0042312663803708,0.0042312663803708
