,Feature,score,Absolute_Score
156,Feature_157,0.0657825355498883,0.0657825355498883
119,Feature_120,0.0656942922971536,0.0656942922971536
94,Feature_95,0.0584587786122999,0.0584587786122999
93,Feature_94,0.0489197292002556,0.0489197292002556
173,Feature_174,0.0454398936188663,0.0454398936188663
90,Feature_91,0.0443285697113253,0.0443285697113253
75,Feature_76,0.0437135983113597,0.0437135983113597
199,Feature_200,0.0428925483298349,0.0428925483298349
23,Feature_24,0.0408536567189961,0.0408536567189961
30,Feature_31,0.0406358856223605,0.0406358856223605
92,Feature_93,0.0399492509905208,0.0399492509905208
40,Feature_41,0.0399255083592144,0.0399255083592144
102,Feature_103,0.0389862909317673,0.0389862909317673
74,Feature_75,0.0383539014516499,0.0383539014516499
175,Feature_176,0.0373863985652432,0.0373863985652432
98,Feature_99,0.0372826404593631,0.0372826404593631
187,Feature_188,0.0369766505934021,0.0369766505934021
63,Feature_64,0.0369604694033936,0.0369604694033936
20,Feature_21,0.0366504514457921,0.0366504514457921
111,Feature_112,0.0365953929663813,0.0365953929663813
4,Feature_5,0.0362149047441971,0.0362149047441971
181,Feature_182,0.0348418473897959,0.0348418473897959
38,Feature_39,0.0344327983475117,0.0344327983475117
113,Feature_114,0.0319776461429153,0.0319776461429153
161,Feature_162,0.0316111599888433,0.0316111599888433
54,Feature_55,0.0315496926124747,0.0315496926124747
107,Feature_108,0.0304836563108906,0.0304836563108906
149,Feature_150,0.0292473007512191,0.0292473007512191
128,Feature_129,0.0284011297237973,0.0284011297237973
22,Feature_23,0.0283029532216402,0.0283029532216402
96,Feature_97,0.0281746506158208,0.0281746506158208
116,Feature_117,0.0268685940241147,0.0268685940241147
122,Feature_123,0.0267841530764883,0.0267841530764883
99,Feature_100,0.0265587877648912,0.0265587877648912
100,Feature_101,0.0265483826040177,0.0265483826040177
195,Feature_196,0.0263421104823715,0.0263421104823715
72,Feature_73,0.0249554355725351,0.0249554355725351
114,Feature_115,0.0248370094381911,0.0248370094381911
24,Feature_25,0.024803619153871,0.024803619153871
157,Feature_158,0.0245894416305953,0.0245894416305953
57,Feature_58,0.0245637065154246,0.0245637065154246
147,Feature_148,0.0245080980025002,0.0245080980025002
138,Feature_139,0.0241949849818352,0.0241949849818352
132,Feature_133,0.024037166619971,0.024037166619971
110,Feature_111,0.0238555806684202,0.0238555806684202
9,Feature_10,0.0234801646913796,0.0234801646913796
134,Feature_135,0.0231234586897463,0.0231234586897463
48,Feature_49,0.0230621755748761,0.0230621755748761
169,Feature_170,0.0229130908575161,0.0229130908575161
13,Feature_14,0.0226496735886043,0.0226496735886043
16,Feature_17,0.0225711111197436,0.0225711111197436
87,Feature_88,0.0222854223634994,0.0222854223634994
101,Feature_102,0.0221479664130111,0.0221479664130111
141,Feature_142,0.0220026857492509,0.0220026857492509
140,Feature_141,0.0218314282148457,0.0218314282148457
56,Feature_57,0.0217975428416722,0.0217975428416722
64,Feature_65,0.0215230251752964,0.0215230251752964
69,Feature_70,0.021487893902969,0.021487893902969
162,Feature_163,0.0214456995126376,0.0214456995126376
159,Feature_160,0.0212954543785925,0.0212954543785925
29,Feature_30,0.0208705961906655,0.0208705961906655
49,Feature_50,0.020531483823265,0.020531483823265
118,Feature_119,0.0204911760348985,0.0204911760348985
80,Feature_81,0.0204361070672834,0.0204361070672834
189,Feature_190,0.0202000928326477,0.0202000928326477
194,Feature_195,0.0199182605945481,0.0199182605945481
103,Feature_104,0.0197884920861536,0.0197884920861536
129,Feature_130,0.0197187100265045,0.0197187100265045
2,Feature_3,0.0192336547878322,0.0192336547878322
121,Feature_122,0.0188982208148666,0.0188982208148666
55,Feature_56,0.0171155097840968,0.0171155097840968
172,Feature_173,0.0170176952844846,0.0170176952844846
53,Feature_54,0.0168751753093925,0.0168751753093925
136,Feature_137,0.0168433761250239,0.0168433761250239
50,Feature_51,0.0165669360485479,0.0165669360485479
176,Feature_177,0.0161165254951932,0.0161165254951932
130,Feature_131,0.0160652375228754,0.0160652375228754
158,Feature_159,0.0160055319515719,0.0160055319515719
19,Feature_20,0.0159024519772679,0.0159024519772679
150,Feature_151,0.0156452844654424,0.0156452844654424
165,Feature_166,0.0155593558702518,0.0155593558702518
153,Feature_154,0.0155383493848428,0.0155383493848428
85,Feature_86,0.0154264276920827,0.0154264276920827
193,Feature_194,0.0153650200433252,0.0153650200433252
174,Feature_175,0.0153110326433273,0.0153110326433273
123,Feature_124,0.0149989260768197,0.0149989260768197
105,Feature_106,0.0147066607921639,0.0147066607921639
112,Feature_113,0.0143386620688806,0.0143386620688806
179,Feature_180,0.0141831300041158,0.0141831300041158
197,Feature_198,0.0139894622350123,0.0139894622350123
10,Feature_11,0.0138932495649953,0.0138932495649953
89,Feature_90,0.0138358779020728,0.0138358779020728
196,Feature_197,0.0136540876359336,0.0136540876359336
143,Feature_144,0.0135601651758453,0.0135601651758453
28,Feature_29,0.0134542406044387,0.0134542406044387
95,Feature_96,0.0133748609201997,0.0133748609201997
185,Feature_186,0.0131301026939669,0.0131301026939669
186,Feature_187,0.0130281898442446,0.0130281898442446
11,Feature_12,0.0127193838516426,0.0127193838516426
124,Feature_125,0.0126697597930479,0.0126697597930479
17,Feature_18,0.0122146159608931,0.0122146159608931
67,Feature_68,0.0117412334051435,0.0117412334051435
42,Feature_43,0.0116224583857381,0.0116224583857381
188,Feature_189,0.011486331578301,0.011486331578301
86,Feature_87,0.0113731426780515,0.0113731426780515
8,Feature_9,0.0112429031086039,0.0112429031086039
70,Feature_71,0.0111054100366487,0.0111054100366487
91,Feature_92,0.0110694185380304,0.0110694185380304
31,Feature_32,0.0108729003834865,0.0108729003834865
66,Feature_67,0.0107546644047633,0.0107546644047633
51,Feature_52,0.0106555932229767,0.0106555932229767
139,Feature_140,0.0105905600497697,0.0105905600497697
58,Feature_59,0.0103617262067968,0.0103617262067968
177,Feature_178,0.0098449956526241,0.0098449956526241
117,Feature_118,0.0098288048666657,0.0098288048666657
79,Feature_80,0.0097041008684221,0.0097041008684221
60,Feature_61,0.009691483198131,0.009691483198131
14,Feature_15,0.0096596901335503,0.0096596901335503
36,Feature_37,0.0093019934024143,0.0093019934024143
12,Feature_13,0.009294535277686,0.009294535277686
77,Feature_78,0.0092719403660479,0.0092719403660479
37,Feature_38,0.0092377775378529,0.0092377775378529
65,Feature_66,0.0091123516706618,0.0091123516706618
1,Feature_2,0.0089530216820282,0.0089530216820282
34,Feature_35,0.008515125761407,0.008515125761407
