,Feature,score,Absolute_Score
225,Feature_226,0.0358791106275084,0.0358791106275084
67,Feature_68,0.0333365694572565,0.0333365694572565
125,Feature_126,0.0308189513125535,0.0308189513125535
85,Feature_86,0.0293111659644666,0.0293111659644666
141,Feature_142,0.0288106970639625,0.0288106970639625
80,Feature_81,0.0246587473001019,0.0246587473001019
139,Feature_140,0.0232875016921956,0.0232875016921956
4,Feature_5,0.0197545270857001,0.0197545270857001
117,Feature_118,0.0182824052509704,0.0182824052509704
91,Feature_92,0.0180736361640346,0.0180736361640346
115,Feature_116,0.0180574843301737,0.0180574843301737
30,Feature_31,0.0176484323892882,0.0176484323892882
31,Feature_32,0.0174843133260572,0.0174843133260572
101,Feature_102,0.0174706028437014,0.0174706028437014
54,Feature_55,0.0172819369903678,0.0172819369903678
42,Feature_43,0.0170251759831768,0.0170251759831768
167,Feature_168,0.0160917270508123,0.0160917270508123
106,Feature_107,0.0155965631088251,0.0155965631088251
152,Feature_153,0.0154751814159435,0.0154751814159435
49,Feature_50,0.015271381191634,0.015271381191634
46,Feature_47,0.0151089822696168,0.0151089822696168
137,Feature_138,0.0147956080721353,0.0147956080721353
206,Feature_207,0.0147491996277319,0.0147491996277319
84,Feature_85,0.0146741858752038,0.0146741858752038
19,Feature_20,0.0139263210494704,0.0139263210494704
87,Feature_88,0.0138889877170404,0.0138889877170404
40,Feature_41,0.0134264909961537,0.0134264909961537
208,Feature_209,0.0131912520457966,0.0131912520457966
33,Feature_34,0.0131466157436593,0.0131466157436593
8,Feature_9,0.0130810665796476,0.0130810665796476
273,Feature_274,0.0130043722565944,0.0130043722565944
32,Feature_33,0.0129391033214938,0.0129391033214938
282,Feature_283,0.0129111456763455,0.0129111456763455
79,Feature_80,0.0128496106127006,0.0128496106127006
99,Feature_100,0.0126439876216882,0.0126439876216882
188,Feature_189,0.0125712356476369,0.0125712356476369
298,Feature_299,0.0121962153340611,0.0121962153340611
5,Feature_6,0.0119393997186476,0.0119393997186476
222,Feature_223,0.0118876517701645,0.0118876517701645
157,Feature_158,0.0118309776025589,0.0118309776025589
97,Feature_98,0.0117752484412442,0.0117752484412442
221,Feature_222,0.0117660009556582,0.0117660009556582
231,Feature_232,0.0116174110910343,0.0116174110910343
149,Feature_150,0.011528723045667,0.011528723045667
189,Feature_190,0.0115188211456811,0.0115188211456811
28,Feature_29,0.0112889732220172,0.0112889732220172
295,Feature_296,0.0110203893102012,0.0110203893102012
61,Feature_62,0.0109793792051403,0.0109793792051403
195,Feature_196,0.0109568037471478,0.0109568037471478
279,Feature_280,0.0109388142954346,0.0109388142954346
194,Feature_195,0.0108878336497611,0.0108878336497611
220,Feature_221,0.0107524953951896,0.0107524953951896
89,Feature_90,0.0104512044845399,0.0104512044845399
43,Feature_44,0.0101753371675408,0.0101753371675408
3,Feature_4,0.010164347575169,0.010164347575169
289,Feature_290,0.010114394985231,0.010114394985231
53,Feature_54,0.0099376813262825,0.0099376813262825
1,Feature_2,0.0099040077782309,0.0099040077782309
145,Feature_146,0.0098711489469251,0.0098711489469251
240,Feature_241,0.009718353816281,0.009718353816281
58,Feature_59,0.0096841481193742,0.0096841481193742
288,Feature_289,0.0096287509037853,0.0096287509037853
77,Feature_78,0.0096046156112503,0.0096046156112503
66,Feature_67,0.0095830528548989,0.0095830528548989
232,Feature_233,0.0093095813309035,0.0093095813309035
296,Feature_297,0.0092741183573424,0.0092741183573424
35,Feature_36,0.009199019620452,0.009199019620452
86,Feature_87,0.0091965046742536,0.0091965046742536
